EEN41,FIRST YEAR ENGLISH,"This course, aligned with the Grade 9-10 band of Next Generation Learning Standards, strengthens fundamental skills in reading, writing, speaking and listening, and language use. Students engage in the writing process and peer edit, attending to the “writer’s dirty dozen”: subject/verb agreement, verb tense consistency, pronoun/antecedent agreement, relative pronoun agreement, wrong word/diction, audience/purpose, adverb/adjective errors, dangling/misplaced modifiers, sentence fragments/run-ons, parallelism, faulty comparatives, and proper capitalization. Students write short literary research papers. Students are introduced to the English Regents writing tasks, rhetorical analysis and question stems they may see later on in AP Literature courses. Anchor texts for ninth grade units may include: Things Fall Apart, Girl in Translation, Chinese Cinderella, The Curious Incident of the Dog in the Night-Time, The Secret Life of Bees, The Catcher in the Rye, A Raisin in the Sun, The Odyssey, A Tree Grows in Brooklyn, A Lesson Before Dying, Ethan Frome, Romeo & Juliet, Henry V and Julius Caesar. In a minimum of six-theme based units, students read from a variety of genres (including drama, memoir, novel, short story, nonfiction and poetry) to explore the essential question for First year English: How do conflict and growth shape identity?",english,(5 periods per week for 1 year – Open Enrollment course),,,
EEN42,SOPHOMORE ENGLISH,"This course, aligned with the Grade 9-10 band of Next Generation Learning Standards, enriches students’ skills in reading, writing, speaking and listening, and language use with a focus on oracy. Students continue to engage in the writing process, attending to the “writer’s dirty dozen,” with a focus on mastering the literary analysis essay and the synthesis essay, inspired by readings of memoirs, articles, novels, short stories, visual texts, poetry and plays. Students master the writing tasks appearing on the English Regents which they will take in June as well as on the AP Literature exam they may take in 12th grade. Anchor texts may include: Macbeth, The Kite Runner, The Merchant of Venice, The Tempest, Balzac and the Little Chinese Princess, Native Speaker, The Canterbury Tales, Beowulf, Lord of the Flies, Dracula, Frankenstein, 1984, Brave New World, Persepolis, The Bookseller of Kabul, First They Killed My Father, A Tale of Two Cities, David Copperfield, Dr. Jekyll and Mr. Hyde. In a minimum of six theme based units, students explore the essential question for Sophomore English: How do cultures shape individuals?",english,(5 periods per week for 1 year – Open Enrollment course),,,
EWS11Q1,RHETORIC AND COMPOSITION,"Rhetoric and Composition is a one-term course taken in addition to 10th Grade English, with the purpose of developing the practical writing skills required for college and career readiness. Guided by rubrics and templates, students write argument, informational and narrative essays in - 7 - addition to writing creatively. They are introduced to the writing tasks they may encounter in the following year if they take AP Language. Students identify and analyze rhetorical strategies and logical fallacies, practice synthesizing diverse source material, and gain confidence in using the writing process, visible in their portfolios, to participate in academic discourse. Texts include Graf’s They Say, I Say and Lopate’s The Art of the Personal Essay.",english,(5 periods per week for 1 term – Open Enrollment course),,,
EEN43,AMERICAN LITERATURE,"This course, aligned with the Grade 11-12 band of Next Generation Learning Standards, focuses on topics in American culture. Students engage in five or six units of study, each of which may include novels, plays, poetry, short stories and/or nonfiction works (e.g. historical documents, sermons, newspaper articles) that help define American society, culture and values. They build on their mastery of a variety of essay types learned previously (argument, informational, personal narrative). They work frequently on group projects which build critical reading, thinking, and writing abilities. Students end the year with a unit on the personal narrative essay in preparation for crafting their college essays in the fall. Anchor texts may include: Between the World and Me, The Scarlet Letter, The Crucible, Song of Solomon, Ragtime, Black Boy, Invisible Man, The Joy Luck Club, Sister Carrie, The Age of Innocence, Incidents in the Life of a Slave Girl, The Jungle, The Brief Wondrous Life of Oscar Wao, Walden, Fences, Huckleberry Finn, The Great Gatsby, Death of a Salesman, and A Streetcar Named Desire. Each unit features the 11th grade essential question: How does the American dream involve both oppression and opportunity?",english,(5 periods per week for 1 term – Open Enrollment course),,,
EEN11QGN,EXPLORING GRAPHIC NOVELS: A JOURNEY THROUGH VISUAL LITERATURE,"This is an elective that may be taken by juniors or seniors (including a first unit on college essays for seniors) as a replacement for or in addition to their required English course. Graphic novels have evolved into a powerful medium for storytelling. These works of sequential art combine text and drawings to appeal to visual and literary sensibilities. This class will explore a variety of different genres and styles, delving into complex issues such as coming-of-age, social justice, etc. It will also examine history and theory of the comic form and the ways language is enhanced through artistic decisions of color, angle, scale, and subject. Students will engage with in-depth analysis, engaging discussions, and creative projects to connect the texts to their own lives. The year will culminate in students applying the various artistic and writing styles to create their own graphic novel. This course will provide a comprehensive exploration of the art form for both avid graphic novel enthusiasts and newcomers alike. Join us as we unravel the captivating world of graphic novels and discover their limitless potential. Anchor texts may include, but are not limited to: Batman: Year One, Watchmen, Black Panther, Daytripper, Persepolis, The Best We Could Do, On a Sunbeam, Maus, Fun Home, Rosalie Lightning, March, and The Arrival. The course features themed units and anchor texts from which to choose in the style of our curriculum map.",english,(5 periods per week for 1 term – Open Enrollment course),,,
EEN43XH,"ADVANCED PLACEMENT AMERICAN STUDIES, (AP English Language: American Studies)","This interdisciplinary course aligns the curricula of A.P. English Language and Composition and A.P. U.S. History and Government courses. Students explore American history and literature from the country’s foundations through the present day and think critically about contemporary American culture and its origins. They discuss how individuals develop identities and form communities, examine how writing inspires action, investigate how historical context influences writers, and explore how concepts like racism, nativism, assimilation, class, and gender shape American life. In the process, students analyze art and music and—most frequently—read challenging fiction and non-fiction sources. They learn to write about these sources with care and precision. By May, students are prepared to take both the A.P. English Language and A.P. United States History exams. Students end the year with a unit on the personal narrative essay in preparation for crafting their college essays in the fall.",english,"(5 periods per week for 1 year- Qualified Entry Course-92% on most recent term of English; 90% in prior terms of English + see Social Studies requirement; due to demand, qualified students are selected by lottery)",AP,Co-requisite HUS11XE (Students must qualify for and take both HUS11XE and EEN43XH),
EEN43X,ADVANCED PLACEMENT ENGLISH LANGUAGE AND COMPOSITION,"Advanced Placement Language & Composition is a college level course that builds on the 10th grade Rhetoric & Composition writing class, as well as on all previous English classes, to deepen knowledge of rhetoric, to immerse students in the study of a variety of prose styles and text purposes, and to enable students to comprehend and analyze complex texts. This course is aligned to the Grade 11-12 band of the Next Generation Learning Standards and to the College Board Standards for College Success (i.e. rhetorically analyzing author’s purpose, audience, craft, use of literary and rhetorical devices, language and style; making stylistic choices with - 9 - language to achieve intended effects; understanding the transactional nature of the communication process and understanding, interpreting, analyzing and evaluating media communication). Units of study mirror those in 11th Grade American Literature (above) and explore the same essential question while proceeding at a brisker pace and focusing more on nonfiction texts and on the writing tasks and question stems seen on the AP Language exam. Anthologies include Conversations in American Literature, 50 Essays and Argument in America. Students may elect to take the Advanced Placement test in May. Students end the year with a unit on the personal narrative essay in preparation for crafting their college essays in the fall.",english,(5 periods per week for 1 year-Qualified Entry Course- 92% on most recent term of English; 90% in prior terms of English required),AP,,
EEN44,WORLD LITERATURE,"Senior English starts with a unit on college essay writing featuring supplements and resulting in a collection of polished college essays, drafted with support from teachers of seniors in SGI. The year includes at least five more theme-based units of study. Anchor texts may include Hamlet, Othello, King Lear, Antigone, Jane Eyre, Wide Sargasso Sea, 100 Years of Solitude, One Flew Over the Cuckoo’s Nest, Pygmalion, The Stranger, The Plague, Native Son, The Bluest Eye, The Color of Water, Their Eyes Were Watching God, The Overcoat and The Metamorphosis. Anchor texts are supplemented with nonfiction poems and short stories from Literature: An Introduction to Reading and Writing. Units are aligned to the Grade 11-12 band of the Next Generation Learning Standards and address the 12th grade essential question: How do power dynamics affect us?",english,(5 periods per week for 1 year – Open Enrollment course),,,
EEN44X,ADVANCED PLACEMENT ENGLISH LITERATURE: CRITICAL READING,"Senior English starts with a unit on college essay writing featuring supplements and resulting in a collection of polished college essays, drafted with support from teachers of seniors in SGI. Students who appreciate nuance and peer review may take this AP Literature course. It prepares students for success on the AP Literature exam in May. Six units of study parallel those in World Literature (above) with varied culminating assessments and projects. Students review aesthetics and critical schools of thought to examine a work's structure, style, and themes through a particular lens, and attend to smaller-scale elements of fiction, drama and poetry (e.g. figurative language, symbolism, and tone) as literary scholars. Selected texts are chosen from several genres and periods to reflect a survey of World Literature - from the sixteenth century to the twenty-first century. Reading is accompanied by thoughtful discussion and analytical writing. Literature and Composition: An Introduction to Reading and Writing (Jago) is the course anthology.",english,(5 periods per week for 1 year-Qualified Entry Course- 92% on most recent term of English; 90% in all prior terms of English required),AP,,
EEN44XC,ADVANCED PLACEMENT ENGLISH LITERATURE: CREATIVE WRITING,"Senior English starts with a unit on college essay writing featuring supplements and resulting in a collection of polished college essays, drafted with support from teachers of seniors in SGI. - 11 - Students who appreciate nuance, creative expression and frequent peer review may take this AP Literature course that also involves creative writing and a focus on developing an individual style as a writer. It prepares students for success on the AP Literature exam in May, asking students to view literature studied as mentor texts to inspire their own creative efforts. Six units of study parallel those in World Literature (above) but culminating assessments for each unit involve writing creatively as well as mastering the writing tasks on the AP Literature exam. Projects may include multimedia and genre studies, research using MLA style, crafting spoken word and poetry, writing stories and creative nonfiction, and creating podcasts and films. Students review aesthetics and critical schools of thought to examine a work's structure, style, and themes through a particular lens, and attend to smaller-scale elements of fiction, drama and poetry (e.g. figurative language, symbolism, and tone) as practitioners of the craft rather than merely as literary scholars. Students workshop a portfolio of their own writing by the end of the course, having applied what they learned as critics. Selected texts are chosen from several genres and periods to reflect a survey of World Literature - from the sixteenth century to the twenty-first century. Reading is accompanied by thoughtful discussion and analytical writing. Literature and Composition: An Introduction to Reading and Writing (Jago) is the course anthology.",english,(5 periods per week for 1 year-Qualified Entry Course- 92% on most recent term of English; 90% in all prior terms of English required),AP,,
